Ref,Val,Package,PosX,PosY,Rot,Side
"","","",95.300000,-54.255000,0.000000,top
"0.8mm","Castellated_Hole_0.8mm","Castellated_Hole_0.8mm",88.947000,-54.255000,0.000000,top
"C1","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.974999,-61.064999,180.000000,top
"C2","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.149998,-59.343333,180.000000,top
"C3","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.149998,-57.621666,180.000000,top
"C4","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.303340,-69.797286,180.000000,top
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.303340,-66.199095,0.000000,top
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.303340,-64.400000,0.000000,top
"C7","2.2nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.600000,-63.500000,0.000000,top
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.500000,-64.200000,0.000000,top
"C9","0.22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",91.200000,-68.000000,90.000000,top
"C10","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.050000,-68.000000,90.000000,top
"IC1","QMC5883L","QMC5883L",96.500000,-67.700000,-90.000000,top
"J1","JST","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",118.300000,-55.400000,90.000000,top
"J2","S2B-PH-SM4-TB_LF__SN_2mm","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",114.050000,-44.750000,90.000000,top
"L1","XEL4030-102MEC","IND_XEL4030-102MEC",117.400000,-61.300000,90.000000,top
"R1","732k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.149998,-61.064999,0.000000,top
"R2","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.149998,-55.900000,180.000000,top
"R3","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.303340,-67.998191,0.000000,top
"R4","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",97.581250,-61.131250,0.000000,top
"R5","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",101.281250,-61.131250,180.000000,top
"R6","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",106.600000,-50.000000,180.000000,top
"R7","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",106.600000,-51.800000,180.000000,top
"U1","TPS61023DRLR","TPS61023DRLR",113.000000,-58.400000,90.000000,top
"U2","SN74AHCT1G125DBVR","SOT-23-5",111.800000,-53.000000,0.000000,top
"U3","XIAO-ESP32-C3-SMD","XIAO-ESP32C3-SMD",93.500000,-49.900000,90.000000,top
"U4","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm_NoMask",104.600000,-67.200000,90.000000,top
